#count	mode	opcode	ext	mnemonic	rm
3792	16	0D	-	?	r
3752	32	30	-	?	m
3651	16	0F 83	-	?	r
3618	32	1B	-	?	m
3169	32	80	/3	?	m
3108	16	00	-	?	m
3006	32	0F A4	-	?	r
2940	16	81	/5	?	r
2932	16	12	-	?	r
2758	16	96	-	?	r
2730	32	0F AC	-	?	r
2693	32	92	-	?	r
2648	16	FF	/4	?	r
2536	16	D5	-	?	r
2494	32	D0	/5	?	r
2491	16	F7	/6	?	m
2470	32	EF	-	?	r
2320	16	D2	/1	?	r
2122	16	13	-	?	m
2069	32	35	-	?	r
2043	16	0F 88	-	?	r
2033	16	83	/6	?	r
1808	32	D0	/4	?	m
1719	16	81	/1	?	m
1687	32	C0	/7	?	r
1661	16	6B	-	?	m
1597	16	F7	/7	?	r
1524	32	9F	-	?	r
1497	32	0F B2	-	?	m
1471	16	32	-	?	m
1417	32	12	-	?	r
1411	32	81	/6	?	m
1340	16	0F BA	/6	?	m
1311	16	30	-	?	r
1286	16	0F 80	-	?	r
1241	32	16	-	?	r
1223	16	F7	/5	?	r
1110	16	0F 20	-	?	r
1108	32	E1	-	?	r
1040	16	B5	-	?	r
1027	32	F6	/5	?	r
1005	16	D0	/0	?	r
951	16	9F	-	?	r
943	32	0F B5	-	?	m
920	16	9E	-	?	r
860	16	D0	/3	?	r
851	32	F6	/6	?	r
831	16	D3	/0	?	r
805	16	83	/3	?	m
782	32	D3	/1	?	r
767	16	0F 00	/0	?	m
755	32	81	/6	?	r
743	16	0F 01	/3	?	m
743	16	0F 22	-	?	r
742	32	9E	-	?	r
739	16	0F 01	/0	?	m
689	32	83	/3	?	m
684	32	D3	/4	?	m
682	16	0F 8E	-	?	r
673	16	C0	/0	?	r
637	16	0F 03	-	?	m
601	32	F6	/3	?	r
599	16	84	-	?	m
515	16	D0	/7	?	r
509	32	0F 00	/5	?	r
502	32	C1	/4	?	m
492	32	0F 06	-	?	r
470	16	69	-	?	r
462	32	F7	/7	?	m
