count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
428	32:66f780	1	32	66f780030200000800	9	2	4	-	-	1	f7	0	base_d32	2	0	0	0	-	-	515	32	40	0x8	16	1	test word [eax+0x203], 8	pfx@0:8=66 op@8:8=f7 mod@22:2=2 reg@19:3=0 rm@16:3=0 disp@24:32=515 imm@56:16=0x8
428	32:294c24	1	32	294c2410	4	4	4	-	-	0	29	-	sib_d8	1	1	4	4	-	0	16	8	24	-	0	1	sub [esp+0x10], ecx	op@0:8=29 mod@14:2=1 reg@11:3=1 rm@8:3=4 base@16:3=4 index@19:3=4 scale@22:2=0 disp@24:8=16
428	32:66895424	1	32	6689542414	5	2	4	-	-	1	89	-	sib_d8	1	2	4	4	-	0	20	8	24	-	0	1	mov [esp+0x14], dx	pfx@0:8=66 op@8:8=89 mod@22:2=1 reg@19:3=2 rm@16:3=4 base@24:3=4 index@27:3=4 scale@30:2=0 disp@32:8=20
427	32:8b1407	2	32	8b1407	3	4	4	-	-	0	8b	-	sib_base	0	2	4	7	0	0	-	0	16	-	0	1	mov edx, [edi+eax]	op@0:8=8b mod@14:2=0 reg@11:3=2 rm@8:3=4 base@16:3=7 index@19:3=0 scale@22:2=0
426	16:678a4e	1	16	678a4e06	4	2	4	-	-	1	8a	-	base_d8	1	1	6	6	-	-	6	8	16	-	0	1	mov cl, [esi+6]	pfx@0:8=67 op@8:8=8a mod@22:2=1 reg@19:3=1 rm@16:3=6 disp@24:8=6
426	16:678a4e	1	16	678a4e16	4	2	4	-	-	1	8a	-	base_d8	1	1	6	6	-	-	22	8	16	-	0	1	mov cl, [esi+0x16]	pfx@0:8=67 op@8:8=8a mod@22:2=1 reg@19:3=1 rm@16:3=6 disp@24:8=22
426	32:3903	1	32	3903	2	4	4	-	-	0	39	-	base	0	0	3	3	-	-	-	0	8	-	0	1	cmp [ebx], eax	op@0:8=39 mod@14:2=0 reg@11:3=0 rm@8:3=3
426	16:660fb774	1	16	660fb7741c	5	4	2	-	-	1	0fb7	-	base16_d8	1	6	4	-	-	-	28	8	16	-	0	1	movzx esi, word [si+0x1C]	pfx@0:8=66 op@8:16=0fb7 mod@30:2=1 reg@27:3=6 rm@24:3=4 disp@32:8=28
426	32:66832d	1	32	66832d60d400c010	8	2	4	-	-	1	83	5	abs32	0	5	5	-	-	-	-1073687456	32	40	0x10	8	1	sub word [0xC000D460], 0x10	pfx@0:8=66 op@8:8=83 mod@22:2=0 reg@19:3=5 rm@16:3=5 disp@24:32=-1073687456 imm@56:8=0x10
426	32:0fb6d3	1	32	0fb6d3	3	4	4	-	-	0	0fb6	-	reg_direct	3	2	3	-	-	-	-	0	8	-	0	1	movzx edx, bl	op@0:16=0fb6 mod@22:2=3 reg@19:3=2 rm@16:3=3
424	16:22c6	2	16	22c6	2	2	2	-	-	0	22	-	reg_direct	3	0	6	-	-	-	-	0	8	-	0	1	and al, dh	op@0:8=22 mod@14:2=3 reg@11:3=0 rm@8:3=6
424	32:8d1449	1	32	8d1449	3	4	4	-	-	0	8d	-	sib_base	0	2	4	1	1	1	-	0	16	-	0	1	lea edx, [ecx+ecx*2]	op@0:8=8d mod@14:2=0 reg@11:3=2 rm@8:3=4 base@16:3=1 index@19:3=1 scale@22:2=1
