bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
83e810                  ,   32,   3,   628815,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "sub eax, 0x10                           "
83e850                  ,   32,   3,   628815,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "sub eax, 0x50                           "
8bf0                    ,   32,   2,   622708,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=6,rm=0}                                                  ", move=1          , @modrm8          ,  16,      1, "mov esi, eax                            "
fb                      ,   32,   1,   618934,  0,   0,   4,   4,    ,      , sti        , sti                   ,                                                                                           , priv=2          , 8                ,   8,      1, sti
8b7508                  ,   32,   3,   599742,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=6,rm=5,b=5,disp=8@16:8};w=1                                 ", move=2          , @modrm8          ,  24,      1, "mov esi, [ebp+8]                        "
fc                      ,   32,   1,   586516,  0,   0,   4,   4,    ,      , cld        , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , cld
8b4500                  ,   32,   3,   585035,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=0@16:8};w=1                                 ", move=2          , @modrm8          ,  24,      1, "mov eax, [ebp]                          "
8b4510                  ,   32,   3,   585035,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=16@16:8};w=1                                ", move=2          , @modrm8          ,  24,      1, "mov eax, [ebp+0x10]                     "
8ac4                    ,   16,   2,   567740,  0,   0,   2,   2,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=0,rm=4}                                                  ", move=1          , @modrm8          ,  16,      1, "mov al, ah                              "
cb                      ,   16,   1,   555454,  0,   0,   2,   2,    ,      , retf       , retf                  ,                                                                                           , ret=3           , 8                ,   8,      1, retf
